episode,reward,steps,success,epsilon
0,-66.5000,999,0,1.00000
1,-67.3000,999,0,0.99900
2,-68.4000,999,0,0.99800
3,-65.2000,999,0,0.99700
4,-67.1000,999,0,0.99601
5,-63.9000,999,0,0.99501
6,-66.6000,999,0,0.99401
7,-66.4000,999,0,0.99302
8,-64.1000,999,0,0.99203
9,-64.0000,999,0,0.99104
10,-65.8000,999,0,0.99004
11,-66.0000,999,0,0.98905
12,-65.4000,999,0,0.98807
13,-64.0000,999,0,0.98708
14,-65.0000,999,0,0.98609
15,-65.2000,999,0,0.98510
16,-65.9000,999,0,0.98412
17,-65.4000,999,0,0.98314
18,-64.2000,999,0,0.98215
19,-65.3000,999,0,0.98117
20,-66.9000,999,0,0.98019
21,-67.3000,999,0,0.97921
22,-65.1000,999,0,0.97823
23,-65.8000,999,0,0.97725
24,-63.4000,999,0,0.97627
25,-62.6000,999,0,0.97530
26,53.1000,731,1,0.97432
27,-66.3000,999,0,0.97335
28,-65.0000,999,0,0.97237
29,-59.0000,999,0,0.97140
30,-67.3000,999,0,0.97043
31,-66.5000,999,0,0.96946
32,-64.8000,999,0,0.96849
33,-65.1000,999,0,0.96752
34,-66.6000,999,0,0.96656
35,-66.5000,999,0,0.96559
36,-65.3000,999,0,0.96462
37,-65.1000,999,0,0.96366
38,-61.4000,999,0,0.96269
39,-65.9000,999,0,0.96173
40,-63.3000,999,0,0.96077
41,44.7000,846,1,0.95981
42,-64.2000,999,0,0.95885
43,-63.0000,999,0,0.95789
44,-63.3000,999,0,0.95693
45,-63.3000,999,0,0.95598
46,-62.4000,999,0,0.95502
47,-60.9000,999,0,0.95406
48,-59.9000,999,0,0.95311
49,-64.1000,999,0,0.95216
50,-61.4000,999,0,0.95121
51,-62.8000,999,0,0.95025
52,-60.3000,999,0,0.94930
53,-66.1000,999,0,0.94835
54,-64.7000,999,0,0.94741
55,-62.6000,999,0,0.94646
56,-64.0000,999,0,0.94551
57,-62.9000,999,0,0.94457
58,-63.2000,999,0,0.94362
59,-63.0000,999,0,0.94268
60,-59.6000,999,0,0.94174
61,-63.4000,999,0,0.94079
62,-62.2000,999,0,0.93985
63,-64.2000,999,0,0.93891
64,-63.1000,999,0,0.93797
65,-62.9000,999,0,0.93704
66,-60.9000,999,0,0.93610
67,-63.0000,999,0,0.93516
68,-62.1000,999,0,0.93423
69,53.3000,773,1,0.93329
70,-60.5000,999,0,0.93236
71,-62.2000,999,0,0.93143
72,-59.4000,999,0,0.93050
73,-60.8000,999,0,0.92957
74,-61.5000,999,0,0.92864
75,-64.6000,999,0,0.92771
76,-65.1000,999,0,0.92678
77,-60.6000,999,0,0.92585
78,47.5000,835,1,0.92493
79,-65.9000,999,0,0.92400
80,-60.9000,999,0,0.92308
81,-62.0000,999,0,0.92216
82,-59.5000,999,0,0.92123
83,-61.0000,999,0,0.92031
84,-58.2000,999,0,0.91939
85,-61.8000,999,0,0.91847
86,-61.0000,999,0,0.91755
87,-61.3000,999,0,0.91664
88,-63.3000,999,0,0.91572
89,-60.7000,999,0,0.91480
90,-61.1000,999,0,0.91389
91,-60.9000,999,0,0.91298
92,-58.9000,999,0,0.91206
93,-59.8000,999,0,0.91115
94,-60.9000,999,0,0.91024
95,-60.6000,999,0,0.90933
96,-60.8000,999,0,0.90842
97,-58.1000,999,0,0.90751
98,-61.2000,999,0,0.90660
99,57.0000,720,1,0.90570
100,-60.0000,999,0,0.90479
101,-61.7000,999,0,0.90389
102,-57.0000,999,0,0.90298
103,-61.3000,999,0,0.90208
104,-60.2000,999,0,0.90118
105,-58.8000,999,0,0.90028
106,-59.4000,999,0,0.89938
107,-61.8000,999,0,0.89848
108,-60.4000,999,0,0.89758
109,-61.1000,999,0,0.89668
110,-61.3000,999,0,0.89578
111,-59.8000,999,0,0.89489
112,-59.5000,999,0,0.89399
113,-59.0000,999,0,0.89310
114,-59.4000,999,0,0.89221
115,-58.0000,999,0,0.89131
116,-60.7000,999,0,0.89042
117,-60.1000,999,0,0.88953
118,-59.1000,999,0,0.88864
119,-59.0000,999,0,0.88775
120,-57.4000,999,0,0.88687
121,-59.7000,999,0,0.88598
122,-61.3000,999,0,0.88509
123,-59.1000,999,0,0.88421
124,-57.0000,999,0,0.88333
125,-56.5000,999,0,0.88244
126,-59.5000,999,0,0.88156
127,-61.7000,999,0,0.88068
128,-60.3000,999,0,0.87980
129,-59.1000,999,0,0.87892
130,-59.5000,999,0,0.87804
131,-58.6000,999,0,0.87716
132,-56.8000,999,0,0.87628
133,-59.7000,999,0,0.87541
134,-57.2000,999,0,0.87453
135,-58.9000,999,0,0.87366
136,-58.0000,999,0,0.87278
137,-61.8000,999,0,0.87191
138,-57.9000,999,0,0.87104
139,-57.7000,999,0,0.87017
140,-56.0000,999,0,0.86930
141,-60.8000,999,0,0.86843
142,-55.6000,999,0,0.86756
143,-58.0000,999,0,0.86669
144,-57.1000,999,0,0.86583
145,-58.2000,999,0,0.86496
146,-56.1000,999,0,0.86409
147,-56.2000,999,0,0.86323
148,-55.6000,999,0,0.86237
149,-56.8000,999,0,0.86150
150,-56.8000,999,0,0.86064
151,-55.6000,999,0,0.85978
152,-58.5000,999,0,0.85892
153,-57.4000,999,0,0.85806
154,-57.9000,999,0,0.85721
155,-58.3000,999,0,0.85635
156,-58.7000,999,0,0.85549
157,-56.7000,999,0,0.85464
158,-56.7000,999,0,0.85378
159,-53.5000,999,0,0.85293
160,-56.8000,999,0,0.85208
161,-55.9000,999,0,0.85122
162,-57.1000,999,0,0.85037
163,-56.6000,999,0,0.84952
164,-54.5000,999,0,0.84867
165,48.4000,889,1,0.84782
166,-56.1000,999,0,0.84698
167,-56.3000,999,0,0.84613
168,-54.0000,999,0,0.84528
169,-54.4000,999,0,0.84444
170,-55.6000,999,0,0.84359
171,-54.9000,999,0,0.84275
172,-56.4000,999,0,0.84191
173,-56.3000,999,0,0.84106
174,-58.8000,999,0,0.84022
175,-54.5000,999,0,0.83938
176,-56.0000,999,0,0.83854
177,-58.0000,999,0,0.83771
178,-53.0000,999,0,0.83687
