episode,reward,steps,success,epsilon
0,-47.4750,999,0,1.00000
1,-50.7000,999,0,0.99900
2,-51.1000,999,0,0.99800
3,-52.8750,999,0,0.99700
4,-51.9000,999,0,0.99601
5,-48.1000,999,0,0.99501
6,-51.5000,999,0,0.99401
7,-48.5000,999,0,0.99302
8,-50.7750,999,0,0.99203
9,-50.3250,999,0,0.99104
10,-49.5750,999,0,0.99004
11,-49.7250,999,0,0.98905
12,-49.1000,999,0,0.98807
13,-49.4500,999,0,0.98708
14,-50.7000,999,0,0.98609
15,-49.7500,999,0,0.98510
16,-48.3000,999,0,0.98412
17,-51.0500,999,0,0.98314
18,-49.6750,999,0,0.98215
19,-48.2750,999,0,0.98117
20,-45.3250,999,0,0.98019
21,-51.2250,999,0,0.97921
22,-48.9750,999,0,0.97823
23,-49.0500,999,0,0.97725
24,-49.1750,999,0,0.97627
25,-49.8000,999,0,0.97530
26,-48.1750,999,0,0.97432
27,-50.4250,999,0,0.97335
28,-50.0500,999,0,0.97237
29,-49.7250,999,0,0.97140
30,-46.5750,999,0,0.97043
31,-48.9000,999,0,0.96946
32,-50.7500,999,0,0.96849
33,-48.8250,999,0,0.96752
34,-48.4750,999,0,0.96656
35,-49.0750,999,0,0.96559
36,-45.8750,999,0,0.96462
37,-48.1750,999,0,0.96366
38,-49.6750,999,0,0.96269
39,-47.2500,999,0,0.96173
40,-49.3500,999,0,0.96077
41,-47.6250,999,0,0.95981
42,61.7500,795,1,0.95885
43,-46.5500,999,0,0.95789
44,-48.2500,999,0,0.95693
45,-46.1500,999,0,0.95598
46,-50.2250,999,0,0.95502
47,-47.5000,999,0,0.95406
48,-49.0750,999,0,0.95311
49,-48.4750,999,0,0.95216
50,-48.5000,999,0,0.95121
51,-48.9750,999,0,0.95025
52,-50.4250,999,0,0.94930
53,-51.5250,999,0,0.94835
54,-50.8750,999,0,0.94741
55,-51.2750,999,0,0.94646
56,-51.1500,999,0,0.94551
57,-49.0500,999,0,0.94457
58,-51.0750,999,0,0.94362
59,-49.7250,999,0,0.94268
60,-50.3500,999,0,0.94174
61,-50.5750,999,0,0.94079
62,-48.7250,999,0,0.93985
63,-48.3250,999,0,0.93891
64,-50.3750,999,0,0.93797
65,-50.5000,999,0,0.93704
66,-50.9000,999,0,0.93610
67,-50.2750,999,0,0.93516
68,-50.2500,999,0,0.93423
69,-52.5500,999,0,0.93329
70,-48.7250,999,0,0.93236
71,-48.8250,999,0,0.93143
72,-49.8500,999,0,0.93050
73,60.9000,822,1,0.92957
74,-47.7500,999,0,0.92864
75,-47.7000,999,0,0.92771
76,-47.8250,999,0,0.92678
77,-49.6500,999,0,0.92585
78,-50.2000,999,0,0.92493
79,-48.1000,999,0,0.92400
80,-48.5250,999,0,0.92308
81,-52.6500,999,0,0.92216
82,-49.4500,999,0,0.92123
83,-50.0250,999,0,0.92031
84,-46.6000,999,0,0.91939
85,-48.9750,999,0,0.91847
86,-49.8250,999,0,0.91755
87,-50.3000,999,0,0.91664
88,-49.6250,999,0,0.91572
89,-49.9000,999,0,0.91480
90,-47.3000,999,0,0.91389
91,-47.7250,999,0,0.91298
