run_id,position_bins,velocity_bins,num_actions,episodes,epsilon,epsilon_min,epsilon_decay,gamma,alpha,planning_steps,seed,eval_mean_reward,eval_std_reward,eval_success_rate,eval_mean_steps,train_success_rate_last500,train_seconds
disc4_grid10x10_a4_s0,10,10,4,3000,1.0,0.05,0.999,0.99,0.1,,0,6.0437776379911785,77.98733765851561,0.49,617.18,0.988,24.129993898000066
disc4_grid10x10_a4_s1,10,10,4,3000,1.0,0.05,0.999,0.99,0.1,,1,43.16433331267072,79.36435056122221,0.77,366.09,0.964,24.153755161999925
disc4_grid20x20_a4_s0,20,20,4,3000,1.0,0.05,0.999,0.99,0.1,,0,91.90255549747413,0.24711098289429773,1.0,158.93,1.0,25.07720495400008
disc4_grid20x20_a4_s1,20,20,4,3000,1.0,0.05,0.999,0.99,0.1,,1,85.03711107124226,26.497365120046787,0.98,183.14,0.986,27.753297148
disc4_grid50x50_a4_s0,50,50,4,3000,1.0,0.05,0.999,0.99,0.1,,0,77.80388864557612,38.824324915984796,0.84,388.53,1.0,30.72147975500002
disc4_grid50x50_a4_s1,50,50,4,3000,1.0,0.05,0.999,0.99,0.1,,1,83.67766646953424,31.593908049174114,0.9,327.81,1.0,32.46020799199982
disc4_grid100x100_a4_s0,100,100,4,3000,1.0,0.05,0.999,0.99,0.1,,0,84.25577742728925,28.143953985999346,0.92,547.86,0.994,48.11371455599988
disc4_grid100x100_a4_s1,100,100,4,3000,1.0,0.05,0.999,0.99,0.1,,1,91.80211077447073,1.211836418546972,1.0,533.81,0.992,48.102403805999984
