episode,reward,steps,success,epsilon
0,-52.0250,999,0,1.00000
1,-50.2000,999,0,0.99900
2,-47.5500,999,0,0.99800
3,-51.5250,999,0,0.99700
4,69.9250,592,1,0.99601
5,-50.2250,999,0,0.99501
6,-48.4250,999,0,0.99401
7,-49.6250,999,0,0.99302
8,-47.3500,999,0,0.99203
9,-48.3000,999,0,0.99104
10,-50.7250,999,0,0.99004
11,-50.5000,999,0,0.98905
12,-48.1250,999,0,0.98807
13,-49.4500,999,0,0.98708
14,-49.3750,999,0,0.98609
15,-50.3000,999,0,0.98510
16,-49.2500,999,0,0.98412
17,-49.5750,999,0,0.98314
18,-48.9000,999,0,0.98215
19,-48.8250,999,0,0.98117
20,-50.0250,999,0,0.98019
21,-50.7250,999,0,0.97921
22,-51.4750,999,0,0.97823
23,-48.1500,999,0,0.97725
24,-48.6000,999,0,0.97627
25,-49.4750,999,0,0.97530
26,-49.9750,999,0,0.97432
27,-50.4500,999,0,0.97335
28,-50.4750,999,0,0.97237
29,-51.6000,999,0,0.97140
30,-49.0500,999,0,0.97043
31,-49.9500,999,0,0.96946
32,-47.9000,999,0,0.96849
33,-50.9500,999,0,0.96752
34,-48.8000,999,0,0.96656
35,-48.2250,999,0,0.96559
36,-49.4250,999,0,0.96462
37,-51.8750,999,0,0.96366
38,-47.2500,999,0,0.96269
39,-50.4500,999,0,0.96173
40,-49.3250,999,0,0.96077
41,-50.4500,999,0,0.95981
42,65.5250,702,1,0.95885
43,-50.0250,999,0,0.95789
44,-51.3750,999,0,0.95693
45,-52.5500,999,0,0.95598
46,-49.1750,999,0,0.95502
47,-48.6500,999,0,0.95406
48,-51.5250,999,0,0.95311
49,-51.2250,999,0,0.95216
50,-48.5500,999,0,0.95121
51,-50.8750,999,0,0.95025
52,-50.9000,999,0,0.94930
53,-51.6000,999,0,0.94835
54,-48.1500,999,0,0.94741
55,-50.6250,999,0,0.94646
56,-51.7000,999,0,0.94551
57,-49.4750,999,0,0.94457
58,-50.0250,999,0,0.94362
