episode,reward,steps,success,epsilon
0,-58.3889,999,0,1.00000
1,-57.3222,999,0,0.99700
2,52.6667,868,1,0.99401
3,-55.6333,999,0,0.99103
4,-55.8111,999,0,0.98805
5,-56.7889,999,0,0.98509
6,-54.3000,999,0,0.98213
7,-52.4333,999,0,0.97919
8,-54.2111,999,0,0.97625
9,-55.6333,999,0,0.97332
10,-54.0333,999,0,0.97040
11,-51.8111,999,0,0.96749
12,-55.0111,999,0,0.96459
13,-54.2111,999,0,0.96169
14,-52.8778,999,0,0.95881
15,-53.5889,999,0,0.95593
16,-52.0778,999,0,0.95307
17,-54.3889,999,0,0.95021
18,-53.7667,999,0,0.94736
19,-51.2778,999,0,0.94451
20,-53.4111,999,0,0.94168
21,-50.0333,999,0,0.93885
22,-54.9222,999,0,0.93604
23,-51.0111,999,0,0.93323
24,-51.2778,999,0,0.93043
25,-53.3222,999,0,0.92764
26,-51.5444,999,0,0.92486
27,-51.9000,999,0,0.92208
28,-52.5222,999,0,0.91932
29,-52.4333,999,0,0.91656
30,-50.0333,999,0,0.91381
31,-52.3444,999,0,0.91107
32,-52.5222,999,0,0.90833
33,-53.6778,999,0,0.90561
34,-48.8778,999,0,0.90289
35,-51.8111,999,0,0.90018
36,62.1556,710,1,0.89748
37,51.1889,977,1,0.89479
38,-50.9222,999,0,0.89211
39,-49.5000,999,0,0.88943
40,-52.9667,999,0,0.88676
41,-50.8333,999,0,0.88410
42,-50.6556,999,0,0.88145
43,-48.5222,999,0,0.87880
44,-47.6333,999,0,0.87617
45,-49.1444,999,0,0.87354
46,-49.5000,999,0,0.87092
47,64.2667,704,1,0.86831
48,-46.9222,999,0,0.86570
49,-48.0778,999,0,0.86310
50,-49.0556,999,0,0.86051
51,-50.2111,999,0,0.85793
52,-48.4333,999,0,0.85536
53,-47.1889,999,0,0.85279
54,-48.8778,999,0,0.85023
55,-49.7667,999,0,0.84768
56,-49.3222,999,0,0.84514
57,-47.5444,999,0,0.84260
58,-51.1000,999,0,0.84008
59,-49.7667,999,0,0.83756
