episode,reward,steps,success,epsilon
0,-51.9250,999,0,1.00000
1,-50.7250,999,0,0.99900
2,-51.4000,999,0,0.99800
3,-50.4250,999,0,0.99700
4,-49.0250,999,0,0.99601
5,-47.9750,999,0,0.99501
6,-48.9250,999,0,0.99401
7,-49.8750,999,0,0.99302
8,-48.2000,999,0,0.99203
9,-48.6000,999,0,0.99104
10,-50.1250,999,0,0.99004
11,-51.7500,999,0,0.98905
12,-49.4750,999,0,0.98807
13,-49.6750,999,0,0.98708
14,-49.9250,999,0,0.98609
15,-48.5500,999,0,0.98510
16,-49.9500,999,0,0.98412
17,-48.6500,999,0,0.98314
18,-49.4250,999,0,0.98215
19,-48.6750,999,0,0.98117
20,-50.6000,999,0,0.98019
21,-51.1250,999,0,0.97921
22,-47.7000,999,0,0.97823
23,-49.4250,999,0,0.97725
24,-48.2500,999,0,0.97627
25,-48.4250,999,0,0.97530
26,-48.5250,999,0,0.97432
27,-48.2250,999,0,0.97335
28,-49.3000,999,0,0.97237
29,-45.6000,999,0,0.97140
30,-49.4500,999,0,0.97043
31,-49.6750,999,0,0.96946
32,-46.6750,999,0,0.96849
33,-47.7250,999,0,0.96752
34,-50.1500,999,0,0.96656
35,-49.2000,999,0,0.96559
36,-48.2500,999,0,0.96462
37,-48.5250,999,0,0.96366
38,-46.4000,999,0,0.96269
39,-47.6250,999,0,0.96173
40,59.6750,813,1,0.96077
41,-51.0500,999,0,0.95981
42,-48.0000,999,0,0.95885
43,-47.0000,999,0,0.95789
44,-46.3500,999,0,0.95693
45,-46.2500,999,0,0.95598
46,-46.0250,999,0,0.95502
47,-46.4500,999,0,0.95406
48,-46.2000,999,0,0.95311
49,-48.5000,999,0,0.95216
50,-47.0250,999,0,0.95121
51,-46.8000,999,0,0.95025
52,-45.6250,999,0,0.94930
53,-48.9250,999,0,0.94835
54,-49.1000,999,0,0.94741
55,-46.2000,999,0,0.94646
56,-48.0750,999,0,0.94551
57,-48.3000,999,0,0.94457
58,-47.4000,999,0,0.94362
59,-46.3500,999,0,0.94268
60,-46.8250,999,0,0.94174
61,-47.4750,999,0,0.94079
62,-48.8750,999,0,0.93985
63,-46.5250,999,0,0.93891
64,-49.0750,999,0,0.93797
65,-45.3750,999,0,0.93704
66,-45.8750,999,0,0.93610
67,-47.8000,999,0,0.93516
68,-48.4500,999,0,0.93423
69,-45.4750,999,0,0.93329
70,-46.0750,999,0,0.93236
71,-46.5500,999,0,0.93143
72,-46.2750,999,0,0.93050
73,-44.8250,999,0,0.92957
74,-45.4500,999,0,0.92864
75,-47.2250,999,0,0.92771
76,-47.0500,999,0,0.92678
77,-47.5000,999,0,0.92585
78,-47.3000,999,0,0.92493
79,-45.2000,999,0,0.92400
80,-46.6500,999,0,0.92308
81,-46.8750,999,0,0.92216
82,-46.0500,999,0,0.92123
83,-44.5000,999,0,0.92031
84,-45.4250,999,0,0.91939
85,-46.3750,999,0,0.91847
86,-47.3000,999,0,0.91755
87,-46.4500,999,0,0.91664
88,-45.4750,999,0,0.91572
89,-45.3250,999,0,0.91480
90,-45.6000,999,0,0.91389
91,-43.7500,999,0,0.91298
92,-45.2250,999,0,0.91206
93,-44.6250,999,0,0.91115
94,-48.5000,999,0,0.91024
95,-44.1250,999,0,0.90933
96,-43.5750,999,0,0.90842
97,-45.2500,999,0,0.90751
98,64.7750,807,1,0.90660
99,-46.9000,999,0,0.90570
100,-46.7750,999,0,0.90479
101,-42.9750,999,0,0.90389
102,-44.5750,999,0,0.90298
103,-46.7750,999,0,0.90208
104,-44.8250,999,0,0.90118
105,-44.1750,999,0,0.90028
106,-45.2250,999,0,0.89938
107,-43.6250,999,0,0.89848
108,-46.7750,999,0,0.89758
109,-46.0000,999,0,0.89668
110,-44.9000,999,0,0.89578
111,-43.9750,999,0,0.89489
112,-46.3000,999,0,0.89399
113,-44.4250,999,0,0.89310
114,-43.9250,999,0,0.89221
115,-44.2750,999,0,0.89131
116,-46.9250,999,0,0.89042
117,-43.2500,999,0,0.88953
118,-43.1500,999,0,0.88864
119,-43.5500,999,0,0.88775
120,-42.4750,999,0,0.88687
121,-44.1250,999,0,0.88598
