episode,reward,steps,success,epsilon
0,-51.6500,999,0,1.00000
1,-51.0500,999,0,0.99700
2,-49.1250,999,0,0.99401
3,-50.1000,999,0,0.99103
4,-49.3750,999,0,0.98805
5,-51.0000,999,0,0.98509
6,-48.5750,999,0,0.98213
7,-47.0000,999,0,0.97919
8,-48.6750,999,0,0.97625
9,-50.1250,999,0,0.97332
10,-47.3750,999,0,0.97040
11,-47.3750,999,0,0.96749
12,-51.1250,999,0,0.96459
13,-47.3250,999,0,0.96169
14,-48.6500,999,0,0.95881
15,-46.9750,999,0,0.95593
16,-46.7750,999,0,0.95307
17,-48.8750,999,0,0.95021
18,-46.0750,999,0,0.94736
19,-46.6500,999,0,0.94451
20,-47.4500,999,0,0.94168
21,-45.9000,999,0,0.93885
22,-47.0500,999,0,0.93604
23,-45.5250,999,0,0.93323
24,-45.8750,999,0,0.93043
25,-48.0750,999,0,0.92764
26,-45.4750,999,0,0.92486
27,-46.9500,999,0,0.92208
28,-46.9500,999,0,0.91932
29,-45.2500,999,0,0.91656
30,-45.1250,999,0,0.91381
31,-45.9750,999,0,0.91107
32,-47.4250,999,0,0.90833
33,-46.8500,999,0,0.90561
34,-42.9000,999,0,0.90289
35,-46.6750,999,0,0.90018
36,-46.5500,999,0,0.89748
37,-42.2250,999,0,0.89479
38,-44.1000,999,0,0.89211
39,-45.2250,999,0,0.88943
40,-45.6000,999,0,0.88676
41,-44.3250,999,0,0.88410
42,-43.1500,999,0,0.88145
43,-43.6000,999,0,0.87880
44,-39.8000,999,0,0.87617
45,-43.3500,999,0,0.87354
46,-43.1750,999,0,0.87092
47,-41.9750,999,0,0.86831
48,-39.6500,999,0,0.86570
49,-42.6000,999,0,0.86310
50,-43.5750,999,0,0.86051
51,-41.1500,999,0,0.85793
52,-42.9250,999,0,0.85536
53,-42.1500,999,0,0.85279
54,-42.6250,999,0,0.85023
55,-43.3250,999,0,0.84768
56,-44.5000,999,0,0.84514
57,-42.6750,999,0,0.84260
58,-44.7250,999,0,0.84008
59,-43.3250,999,0,0.83756
60,-39.9750,999,0,0.83504
61,-42.0500,999,0,0.83254
62,-42.1500,999,0,0.83004
63,-45.6500,999,0,0.82755
64,-41.6500,999,0,0.82507
65,-40.5250,999,0,0.82259
66,-38.9500,999,0,0.82013
67,-40.1000,999,0,0.81767
68,-40.5250,999,0,0.81521
69,-38.9250,999,0,0.81277
70,-43.6750,999,0,0.81033
71,-43.5750,999,0,0.80790
72,-41.9750,999,0,0.80547
73,-39.9250,999,0,0.80306
74,-40.2250,999,0,0.80065
75,-39.2500,999,0,0.79825
76,-39.0750,999,0,0.79585
77,-40.6250,999,0,0.79346
78,-41.2250,999,0,0.79108
79,-38.3500,999,0,0.78871
80,-38.2500,999,0,0.78634
81,-37.0750,999,0,0.78399
82,-38.1000,999,0,0.78163
