episode,reward,steps,success,epsilon
0,-41.0080,999,0,1.00000
1,-40.4400,999,0,0.99900
2,-41.4240,999,0,0.99800
3,-39.6280,999,0,0.99700
4,-40.1080,999,0,0.99601
5,-38.4680,999,0,0.99501
6,-38.3680,999,0,0.99401
7,-41.0320,999,0,0.99302
8,-38.1920,999,0,0.99203
9,-39.0720,999,0,0.99104
10,-39.4480,999,0,0.99004
11,-41.3360,999,0,0.98905
12,-39.9400,999,0,0.98807
13,-39.7800,999,0,0.98708
14,-39.3960,999,0,0.98609
15,-38.4280,999,0,0.98510
16,-39.5960,999,0,0.98412
17,-39.0920,999,0,0.98314
18,-39.0920,999,0,0.98215
19,-38.2360,999,0,0.98117
20,-41.1400,999,0,0.98019
21,-41.8120,999,0,0.97921
22,-39.0200,999,0,0.97823
23,-39.9320,999,0,0.97725
24,-37.2440,999,0,0.97627
25,-38.0160,999,0,0.97530
26,-39.4800,999,0,0.97432
27,-39.1600,999,0,0.97335
28,-39.2960,999,0,0.97237
29,-36.7120,999,0,0.97140
30,-38.2560,999,0,0.97043
31,-40.0240,999,0,0.96946
32,-37.1440,999,0,0.96849
33,-38.4040,999,0,0.96752
34,-40.3040,999,0,0.96656
35,-39.1200,999,0,0.96559
36,-38.9520,999,0,0.96462
37,-39.1520,999,0,0.96366
38,-37.1160,999,0,0.96269
39,-38.7360,999,0,0.96173
40,-40.2720,999,0,0.96077
41,-40.5480,999,0,0.95981
42,-38.5320,999,0,0.95885
43,-37.4880,999,0,0.95789
44,-36.8080,999,0,0.95693
45,-37.7760,999,0,0.95598
46,-37.2960,999,0,0.95502
47,-35.3880,999,0,0.95406
48,-36.4920,999,0,0.95311
49,-39.0640,999,0,0.95216
50,-37.8400,999,0,0.95121
51,-36.7400,999,0,0.95025
52,-37.2120,999,0,0.94930
53,-39.1960,999,0,0.94835
54,-39.0120,999,0,0.94741
55,-37.0480,999,0,0.94646
56,-38.8680,999,0,0.94551
57,-38.5680,999,0,0.94457
58,-37.4120,999,0,0.94362
59,-36.7960,999,0,0.94268
60,-37.7040,999,0,0.94174
61,-37.6720,999,0,0.94079
62,-38.9160,999,0,0.93985
63,-37.3240,999,0,0.93891
64,-39.3440,999,0,0.93797
65,-36.1560,999,0,0.93704
66,-37.3280,999,0,0.93610
67,-37.0720,999,0,0.93516
68,-39.2200,999,0,0.93423
69,-36.1720,999,0,0.93329
70,-36.9120,999,0,0.93236
71,-37.5440,999,0,0.93143
72,-37.3040,999,0,0.93050
73,-34.9800,999,0,0.92957
74,-35.9880,999,0,0.92864
75,-39.8920,999,0,0.92771
76,-36.5040,999,0,0.92678
77,-37.4480,999,0,0.92585
78,-37.3560,999,0,0.92493
79,-35.7800,999,0,0.92400
80,-38.6760,999,0,0.92308
81,-36.5560,999,0,0.92216
82,-37.0640,999,0,0.92123
83,-35.2520,999,0,0.92031
84,-35.8520,999,0,0.91939
85,-37.4920,999,0,0.91847
86,-36.3080,999,0,0.91755
87,-38.6560,999,0,0.91664
88,-36.2640,999,0,0.91572
