episode,reward,steps,success,epsilon
0,-49.0250,999,0,1.00000
1,-53.0750,999,0,0.99900
2,-47.2500,999,0,0.99800
3,-48.9000,999,0,0.99700
4,-47.0500,999,0,0.99601
5,-48.8250,999,0,0.99501
6,-49.2250,999,0,0.99401
7,-47.6250,999,0,0.99302
8,-50.2000,999,0,0.99203
9,-50.5250,999,0,0.99104
10,-48.9500,999,0,0.99004
11,-48.5000,999,0,0.98905
12,-47.5250,999,0,0.98807
13,-50.0000,999,0,0.98708
14,-50.4500,999,0,0.98609
15,-48.4750,999,0,0.98510
16,-48.5250,999,0,0.98412
17,-49.1250,999,0,0.98314
18,-48.5250,999,0,0.98215
19,-49.0500,999,0,0.98117
20,-49.7750,999,0,0.98019
21,-48.6000,999,0,0.97921
22,-49.9750,999,0,0.97823
23,-49.5250,999,0,0.97725
24,-50.8500,999,0,0.97627
25,-47.1250,999,0,0.97530
26,-48.3750,999,0,0.97432
27,-47.8500,999,0,0.97335
28,-48.1000,999,0,0.97237
29,-48.6750,999,0,0.97140
30,-50.2000,999,0,0.97043
31,-47.4250,999,0,0.96946
32,-47.8250,999,0,0.96849
33,-49.6250,999,0,0.96752
34,-47.0250,999,0,0.96656
35,-46.2750,999,0,0.96559
36,-49.4250,999,0,0.96462
37,-50.5000,999,0,0.96366
38,-47.7750,999,0,0.96269
39,-46.4250,999,0,0.96173
40,-48.6000,999,0,0.96077
41,-46.3500,999,0,0.95981
42,-48.7750,999,0,0.95885
43,-48.3250,999,0,0.95789
44,-48.7000,999,0,0.95693
45,-45.1750,999,0,0.95598
46,-50.1000,999,0,0.95502
47,-46.3500,999,0,0.95406
48,-47.2500,999,0,0.95311
49,-47.8250,999,0,0.95216
50,-46.5000,999,0,0.95121
51,-48.0000,999,0,0.95025
52,-48.8250,999,0,0.94930
53,-48.4500,999,0,0.94835
54,62.3000,774,1,0.94741
55,-47.6500,999,0,0.94646
56,-48.7750,999,0,0.94551
57,-45.5750,999,0,0.94457
58,-48.9000,999,0,0.94362
59,-44.9500,999,0,0.94268
60,-46.9500,999,0,0.94174
61,-47.1750,999,0,0.94079
62,-49.1500,999,0,0.93985
63,-48.6750,999,0,0.93891
64,-48.6750,999,0,0.93797
65,-49.4250,999,0,0.93704
66,-52.0500,999,0,0.93610
67,-48.4500,999,0,0.93516
68,-47.8500,999,0,0.93423
69,-50.0000,999,0,0.93329
70,-48.1750,999,0,0.93236
71,-49.1250,999,0,0.93143
72,-50.1000,999,0,0.93050
73,-47.5500,999,0,0.92957
74,-50.7000,999,0,0.92864
75,-50.8000,999,0,0.92771
76,-50.6000,999,0,0.92678
77,-51.3000,999,0,0.92585
78,-48.9500,999,0,0.92493
79,-47.9000,999,0,0.92400
80,-50.0500,999,0,0.92308
81,-49.0750,999,0,0.92216
82,-47.4500,999,0,0.92123
83,-51.2500,999,0,0.92031
84,-48.4500,999,0,0.91939
85,-49.1000,999,0,0.91847
86,-51.9250,999,0,0.91755
87,-48.7500,999,0,0.91664
88,-49.4000,999,0,0.91572
89,-49.6500,999,0,0.91480
90,-51.1500,999,0,0.91389
91,-46.4250,999,0,0.91298
92,-50.0250,999,0,0.91206
93,-51.8500,999,0,0.91115
94,-51.1750,999,0,0.91024
95,-48.3750,999,0,0.90933
96,-48.5250,999,0,0.90842
97,-48.1500,999,0,0.90751
98,-49.1750,999,0,0.90660
99,-49.4000,999,0,0.90570
100,-50.2750,999,0,0.90479
101,-48.0250,999,0,0.90389
102,-47.6000,999,0,0.90298
103,-49.2750,999,0,0.90208
104,-49.8250,999,0,0.90118
105,-48.3250,999,0,0.90028
106,-47.3750,999,0,0.89938
107,-49.7500,999,0,0.89848
108,-48.5500,999,0,0.89758
109,-51.3000,999,0,0.89668
110,-49.6750,999,0,0.89578
111,-50.3250,999,0,0.89489
112,-47.7250,999,0,0.89399
113,-51.2500,999,0,0.89310
114,-50.7250,999,0,0.89221
115,-48.9250,999,0,0.89131
116,-49.7000,999,0,0.89042
117,-47.3250,999,0,0.88953
118,-48.1250,999,0,0.88864
119,-49.3250,999,0,0.88775
120,-48.8750,999,0,0.88687
121,-49.9750,999,0,0.88598
122,-50.1000,999,0,0.88509
123,-48.1250,999,0,0.88421
124,-49.3000,999,0,0.88333
125,-46.5750,999,0,0.88244
126,-48.0000,999,0,0.88156
127,-47.6000,999,0,0.88068
128,-47.4500,999,0,0.87980
129,-49.0250,999,0,0.87892
130,-48.2250,999,0,0.87804
131,-49.0750,999,0,0.87716
132,-47.6000,999,0,0.87628
133,-46.9000,999,0,0.87541
134,-46.3750,999,0,0.87453
135,-48.0000,999,0,0.87366
136,-49.5000,999,0,0.87278
137,-47.4500,999,0,0.87191
138,-48.9000,999,0,0.87104
139,-46.9000,999,0,0.87017
140,-44.9500,999,0,0.86930
141,-48.3250,999,0,0.86843
142,-47.9250,999,0,0.86756
143,-47.4250,999,0,0.86669
144,-45.8750,999,0,0.86583
145,-47.8250,999,0,0.86496
146,-45.8750,999,0,0.86409
147,-45.9500,999,0,0.86323
148,-43.3000,999,0,0.86237
149,-46.3250,999,0,0.86150
150,-47.7250,999,0,0.86064
151,-45.0500,999,0,0.85978
152,-46.2250,999,0,0.85892
153,-45.7750,999,0,0.85806
154,-43.4500,999,0,0.85721
155,-41.6250,999,0,0.85635
156,-43.6750,999,0,0.85549
157,-46.2000,999,0,0.85464
158,-47.3500,999,0,0.85378
159,-46.9000,999,0,0.85293
160,-46.4000,999,0,0.85208
161,-45.7000,999,0,0.85122
162,-45.0000,999,0,0.85037
163,-43.1250,999,0,0.84952
164,-44.5750,999,0,0.84867
165,-45.1000,999,0,0.84782
166,-44.9500,999,0,0.84698
167,-50.5000,999,0,0.84613
168,-47.3000,999,0,0.84528
169,-48.3250,999,0,0.84444
170,-52.0000,999,0,0.84359
171,-48.9750,999,0,0.84275
172,-47.0000,999,0,0.84191
173,-50.9750,999,0,0.84106
174,-47.0000,999,0,0.84022
175,-49.7000,999,0,0.83938
176,-51.2250,999,0,0.83854
177,-48.3500,999,0,0.83771
178,-48.4250,999,0,0.83687
179,-47.6500,999,0,0.83603
180,-50.1000,999,0,0.83519
181,-50.2000,999,0,0.83436
182,-48.4250,999,0,0.83353
183,-46.2750,999,0,0.83269
184,-47.6000,999,0,0.83186
185,-46.3500,999,0,0.83103
186,-43.9250,999,0,0.83020
187,-47.7750,999,0,0.82937
188,-46.1250,999,0,0.82854
189,-44.3250,999,0,0.82771
190,-46.7500,999,0,0.82688
191,-47.6500,999,0,0.82605
192,-47.5750,999,0,0.82523
193,-47.1250,999,0,0.82440
194,-44.6750,999,0,0.82358
195,-45.7250,999,0,0.82275
196,-44.1500,999,0,0.82193
197,-46.1750,999,0,0.82111
198,-45.7750,999,0,0.82029
199,-45.9000,999,0,0.81947
200,-47.2250,999,0,0.81865
201,-47.8250,999,0,0.81783
202,-45.6500,999,0,0.81701
203,-46.1000,999,0,0.81620
204,-42.6250,999,0,0.81538
205,-45.6000,999,0,0.81456
206,-45.6250,999,0,0.81375
207,-44.4250,999,0,0.81294
208,-44.8250,999,0,0.81212
209,-46.3500,999,0,0.81131
210,-45.3750,999,0,0.81050
211,-42.3250,999,0,0.80969
212,-41.7250,999,0,0.80888
213,-44.0500,999,0,0.80807
214,-39.7750,999,0,0.80726
215,-42.9750,999,0,0.80645
216,-44.3250,999,0,0.80565
217,-44.1000,999,0,0.80484
218,-44.3500,999,0,0.80404
219,-42.8750,999,0,0.80323
220,-42.8000,999,0,0.80243
221,-41.8500,999,0,0.80163
222,-40.7500,999,0,0.80083
223,-43.4500,999,0,0.80003
224,-44.7250,999,0,0.79923
225,-42.7000,999,0,0.79843
226,-42.4500,999,0,0.79763
227,-43.2500,999,0,0.79683
228,-42.1750,999,0,0.79603
229,-43.5500,999,0,0.79524
230,-42.3250,999,0,0.79444
231,-41.0750,999,0,0.79365
232,-42.8750,999,0,0.79285
233,-43.7750,999,0,0.79206
234,-39.7250,999,0,0.79127
235,-40.6750,999,0,0.79048
236,-43.3250,999,0,0.78969
237,-43.6750,999,0,0.78890
238,-40.7500,999,0,0.78811
239,-42.6750,999,0,0.78732
240,-43.2250,999,0,0.78653
241,-41.3500,999,0,0.78575
242,-42.4000,999,0,0.78496
243,-40.5250,999,0,0.78418
244,-41.2000,999,0,0.78339
245,-41.4500,999,0,0.78261
246,-40.5750,999,0,0.78183
247,-40.4750,999,0,0.78104
248,-39.6500,999,0,0.78026
249,-44.0000,999,0,0.77948
250,-39.6000,999,0,0.77870
251,-41.8250,999,0,0.77792
252,-39.8000,999,0,0.77715
253,-40.0500,999,0,0.77637
254,-40.2250,999,0,0.77559
255,-40.7500,999,0,0.77482
256,-39.4250,999,0,0.77404
257,-40.2000,999,0,0.77327
258,-40.2250,999,0,0.77250
259,-36.5500,999,0,0.77172
260,-39.1250,999,0,0.77095
261,-41.6750,999,0,0.77018
262,-38.8000,999,0,0.76941
263,-41.0250,999,0,0.76864
264,-40.1000,999,0,0.76787
265,-38.2750,999,0,0.76710
266,-38.1750,999,0,0.76634
267,-36.2500,999,0,0.76557
268,-38.8750,999,0,0.76481
269,-38.2000,999,0,0.76404
270,-40.9500,999,0,0.76328
271,-39.3500,999,0,0.76251
272,-37.3500,999,0,0.76175
273,-37.1000,999,0,0.76099
274,-39.4500,999,0,0.76023
275,-37.8250,999,0,0.75947
276,-36.3500,999,0,0.75871
277,-38.6500,999,0,0.75795
278,-37.4000,999,0,0.75719
279,-37.4750,999,0,0.75643
280,-34.0500,999,0,0.75568
281,-39.3250,999,0,0.75492
282,-38.4000,999,0,0.75417
283,-39.2750,999,0,0.75341
284,-39.1500,999,0,0.75266
285,-38.8250,999,0,0.75191
286,-34.8750,999,0,0.75116
287,-40.5000,999,0,0.75040
288,-37.6750,999,0,0.74965
289,-36.9000,999,0,0.74890
290,-38.1250,999,0,0.74816
291,-34.4500,999,0,0.74741
292,-39.5750,999,0,0.74666
293,-36.9000,999,0,0.74591
294,-38.7500,999,0,0.74517
295,-37.2750,999,0,0.74442
296,-36.2000,999,0,0.74368
297,-36.0500,999,0,0.74293
298,-38.0500,999,0,0.74219
299,-37.7000,999,0,0.74145
300,-37.6000,999,0,0.74071
301,-36.1500,999,0,0.73997
302,-36.1250,999,0,0.73923
303,-35.4250,999,0,0.73849
304,-37.2750,999,0,0.73775
305,-36.8500,999,0,0.73701
306,-35.7250,999,0,0.73627
307,-37.6000,999,0,0.73554
308,-34.6250,999,0,0.73480
309,-34.9750,999,0,0.73407
310,-37.2500,999,0,0.73333
311,-34.0750,999,0,0.73260
312,-38.0750,999,0,0.73187
313,-38.3750,999,0,0.73114
314,-38.5250,999,0,0.73040
315,-35.6750,999,0,0.72967
316,-37.5250,999,0,0.72894
317,-36.9500,999,0,0.72822
318,-35.1000,999,0,0.72749
319,-37.5250,999,0,0.72676
320,-34.9000,999,0,0.72603
321,-35.7000,999,0,0.72531
322,-35.4500,999,0,0.72458
323,-37.0250,999,0,0.72386
324,-36.9750,999,0,0.72313
325,-35.8250,999,0,0.72241
326,-35.4500,999,0,0.72169
327,-35.7750,999,0,0.72097
328,-35.2500,999,0,0.72024
329,-37.3750,999,0,0.71952
330,-35.9250,999,0,0.71881
331,-35.4000,999,0,0.71809
332,-36.6500,999,0,0.71737
333,-34.9500,999,0,0.71665
334,-36.8250,999,0,0.71593
335,-35.7500,999,0,0.71522
336,-34.9000,999,0,0.71450
337,-32.6500,999,0,0.71379
338,-37.3500,999,0,0.71307
339,-35.5250,999,0,0.71236
340,-35.5250,999,0,0.71165
341,-35.2000,999,0,0.71094
342,-34.9500,999,0,0.71023
343,-35.2500,999,0,0.70952
344,-35.5750,999,0,0.70881
345,-34.3500,999,0,0.70810
346,-37.9750,999,0,0.70739
347,-35.6750,999,0,0.70668
348,-37.0250,999,0,0.70598
349,-34.2750,999,0,0.70527
350,-35.1750,999,0,0.70456
351,-36.4500,999,0,0.70386
352,-34.3000,999,0,0.70316
353,-36.3000,999,0,0.70245
354,-32.4250,999,0,0.70175
355,-35.9500,999,0,0.70105
356,-34.6750,999,0,0.70035
357,-35.3500,999,0,0.69965
358,-34.9000,999,0,0.69895
359,-37.7000,999,0,0.69825
360,-35.4750,999,0,0.69755
361,-33.6750,999,0,0.69685
362,-34.2500,999,0,0.69616
363,-35.0750,999,0,0.69546
364,-34.2500,999,0,0.69476
365,-36.8000,999,0,0.69407
366,-33.9750,999,0,0.69338
367,-33.8750,999,0,0.69268
368,-35.3000,999,0,0.69199
369,-32.9750,999,0,0.69130
370,-33.8000,999,0,0.69061
371,-34.5500,999,0,0.68992
372,-34.9000,999,0,0.68923
373,-32.8000,999,0,0.68854
374,-35.1500,999,0,0.68785
375,-33.0500,999,0,0.68716
376,-33.9250,999,0,0.68647
377,-36.4750,999,0,0.68579
378,-34.1000,999,0,0.68510
379,-33.6000,999,0,0.68442
380,-35.7000,999,0,0.68373
381,-33.4000,999,0,0.68305
382,-33.6000,999,0,0.68236
383,-32.1500,999,0,0.68168
384,-32.0500,999,0,0.68100
385,-32.5500,999,0,0.68032
386,-36.0000,999,0,0.67964
387,-35.4000,999,0,0.67896
388,-34.4000,999,0,0.67828
389,-33.2000,999,0,0.67760
390,-33.2750,999,0,0.67692
391,-33.3500,999,0,0.67625
392,-33.6750,999,0,0.67557
393,-35.0000,999,0,0.67490
394,-33.1750,999,0,0.67422
395,-34.7250,999,0,0.67355
396,-37.0750,999,0,0.67287
397,-31.9500,999,0,0.67220
398,-33.1000,999,0,0.67153
399,-32.2000,999,0,0.67086
400,-32.0750,999,0,0.67019
401,-33.5750,999,0,0.66952
402,-32.3000,999,0,0.66885
403,-34.1750,999,0,0.66818
404,-34.5500,999,0,0.66751
405,-34.7000,999,0,0.66684
406,-32.4500,999,0,0.66617
407,-33.3750,999,0,0.66551
408,-34.2000,999,0,0.66484
409,-34.9750,999,0,0.66418
410,-32.8250,999,0,0.66351
411,-29.8750,999,0,0.66285
412,-31.9750,999,0,0.66219
413,-34.6250,999,0,0.66153
414,-38.1500,999,0,0.66086
415,-32.7250,999,0,0.66020
416,-35.3500,999,0,0.65954
417,-32.9250,999,0,0.65888
418,-32.9250,999,0,0.65822
419,-34.9250,999,0,0.65757
420,-36.5250,999,0,0.65691
421,-33.8000,999,0,0.65625
422,-32.7500,999,0,0.65560
423,-33.9750,999,0,0.65494
424,-33.1000,999,0,0.65429
425,-30.3750,999,0,0.65363
426,-33.5000,999,0,0.65298
427,-32.8750,999,0,0.65232
428,-31.2500,999,0,0.65167
429,-32.9750,999,0,0.65102
430,-32.8750,999,0,0.65037
431,-32.8750,999,0,0.64972
432,-31.2500,999,0,0.64907
